cnn_step016 EfficientVGG GA search
pop=12 gen=6 top_k=5
eval: 5ep × 10% data
Device: mps | Slot: mini_mps
Anchors: D_small_s=70.95%(57.5M), Ref=73.17%(183M), F_wide=74.42%(560M)

  gen00  fit=0.4664  acc=0.4191  MACs=62.9M  C=(32,64,256)  k=3  exp=1  side=0  crelu=0
  gen00  fit=0.3634  acc=0.3411  MACs=97.4M  C=(32,192,128)  k=3  exp=1  side=0  crelu=0
  gen00  fit=0.4189  acc=0.4206  MACs=190.8M  C=(32,96,384)  k=3  exp=2  side=1  crelu=0
  gen00  fit=0.4086  acc=0.3980  MACs=140.6M  C=(48,192,256)  k=5  exp=1  side=0  crelu=1
  gen00  fit=0.4379  acc=0.4117  MACs=98.9M  C=(32,64,384)  k=3  exp=2  side=1  crelu=1
  gen00  fit=0.4214  acc=0.3969  MACs=100.8M  C=(32,192,128)  k=5  exp=1  side=1  crelu=1
  gen00  fit=0.3854  acc=0.3468  MACs=63.7M  C=(48,64,128)  k=7  exp=1  side=1  crelu=0
  gen00  fit=0.4308  acc=0.4344  MACs=199.1M  C=(48,64,384)  k=5  exp=2  side=1  crelu=0
  gen00  fit=0.4061  acc=0.4069  MACs=186.8M  C=(64,128,192)  k=7  exp=2  side=0  crelu=0
  gen00  fit=0.3938  acc=0.3850  MACs=146.1M  C=(48,96,384)  k=5  exp=2  side=0  crelu=1
  gen00  fit=0.3706  acc=0.3409  MACs=79.5M  C=(32,96,128)  k=5  exp=2  side=1  crelu=0
  gen00  fit=0.4228  acc=0.4110  MACs=138.0M  C=(48,128,192)  k=7  exp=2  side=1  crelu=1
Gen 00 BEST  fit=0.4664  acc=0.4191  MACs=62.9M  C=(32,64,256)  k=3  crelu=0
  gen01  fit=0.4103  acc=0.3687  MACs=62.9M  C=(32,64,256)  k=3  exp=1  side=0  crelu=0
  gen01  fit=0.4254  acc=0.4000  MACs=98.9M  C=(32,64,384)  k=3  exp=2  side=1  crelu=1
  gen01  fit=0.3891  acc=0.3924  MACs=199.1M  C=(48,64,384)  k=5  exp=2  side=1  crelu=0
  gen01  fit=0.3989  acc=0.3878  MACs=138.0M  C=(48,128,192)  k=7  exp=2  side=1  crelu=1
  gen01  fit=0.3816  acc=0.3595  MACs=100.8M  C=(32,192,128)  k=5  exp=1  side=1  crelu=1
  gen01  fit=0.4138  acc=0.3975  MACs=122.3M  C=(48,64,384)  k=3  exp=2  side=1  crelu=1
  gen01  fit=0.4498  acc=0.4229  MACs=98.9M  C=(32,64,384)  k=3  exp=2  side=1  crelu=1
  gen01  fit=0.3626  acc=0.3801  MACs=293.5M  C=(32,192,128)  k=5  exp=4  side=1  crelu=1
  gen01  fit=0.4075  acc=0.4553  MACs=555.6M  C=(96,64,384)  k=5  exp=4  side=1  crelu=0
  gen01  fit=0.4121  acc=0.3659  MACs=55.8M  C=(32,96,192)  k=3  exp=1  side=0  crelu=1
