Loading data from data/ts/raw ...
Tickers loaded: 63
Tickers after cross-split filter: 56
  [2015-01-01:2021-12-31] 56 tickers, 230 common dates
  [2022-01-01:2023-12-31] 56 tickers, 493 common dates
Train samples: 169, Val samples: 432
Parameters: 2,101,272
 epoch |  train_mse |  val_mae | val_dir_acc | val_sharpe
---------------------------------------------------------
     1 |   0.002237 |  0.02304 |      0.4912 |  -327.7636
     2 |   0.000599 |  0.02015 |      0.4940 |  -390.7686
     3 |   0.000496 |  0.01633 |      0.4980 |  -523.1568
     4 |   0.000406 |  0.01382 |      0.4990 |  -497.5724
     5 |   0.000394 |  0.01314 |      0.4961 |  -580.3712
     6 |   0.000384 |  0.01251 |      0.4976 |  -932.6776
     7 |   0.000362 |  0.01247 |      0.5024 |  -809.5197
     8 |   0.000358 |  0.01249 |      0.4978 |  -907.7516
     9 |   0.000352 |  0.01254 |      0.5010 |  -764.9529
    10 |   0.000344 |  0.01272 |      0.5067 |  -539.5378
    11 |   0.000339 |  0.01259 |      0.5021 |  -676.8297
    12 |   0.000329 |  0.01267 |      0.5005 |  -647.9888
    13 |   0.000323 |  0.01268 |      0.5007 |  -606.8977
    14 |   0.000320 |  0.01281 |      0.5033 |  -606.5980
    15 |   0.000309 |  0.01280 |      0.5017 |  -571.1176
    16 |   0.000306 |  0.01284 |      0.5044 |  -470.6447
    17 |   0.000292 |  0.01292 |      0.4994 |  -579.7839
    18 |   0.000290 |  0.01314 |      0.5070 |  -391.2411
    19 |   0.000275 |  0.01295 |      0.5033 |  -479.0156
    20 |   0.000269 |  0.01304 |      0.5024 |  -466.0150
    21 |   0.000939 |  0.01450 |      0.5085 |  -227.2932
    22 |   0.000913 |  0.01788 |      0.5102 |  -132.9346
    23 |   0.000897 |  0.01823 |      0.5104 |  -129.7162
    24 |   0.000873 |  0.01716 |      0.5043 |  -148.0289
    25 |   0.000838 |  0.02279 |      0.5102 |   -82.0321
    26 |   0.000817 |  0.02115 |      0.5048 |   -96.2543
    27 |   0.000787 |  0.02111 |      0.4983 |   -92.0553
    28 |   0.000750 |  0.02262 |      0.4987 |   -79.8951
    29 |   0.000713 |  0.02566 |      0.5069 |   -69.7105
    30 |   0.000707 |  0.02284 |      0.4906 |   -88.5956
    31 |   0.000684 |  0.02369 |      0.4938 |   -81.4819
    32 |   0.000667 |  0.02490 |      0.4965 |   -71.8601
    33 |   0.000646 |  0.02940 |      0.4998 |   -56.3460
    34 |   0.000635 |  0.02890 |      0.4987 |   -59.2592
    35 |   0.000602 |  0.02958 |      0.5039 |   -57.6469
    36 |   0.000592 |  0.02808 |      0.4993 |   -63.5021
    37 |   0.000573 |  0.02894 |      0.5000 |   -61.1643
    38 |   0.000563 |  0.02609 |      0.4941 |   -74.9507
    39 |   0.000550 |  0.02668 |      0.4987 |   -78.1170
    40 |   0.000533 |  0.02949 |      0.5006 |   -60.0987
    41 |   0.000521 |  0.03259 |      0.5029 |   -53.2457
    42 |   0.000509 |  0.03071 |      0.5009 |   -61.5062
    43 |   0.000487 |  0.03000 |      0.4986 |   -62.3621
    44 |   0.000458 |  0.03173 |      0.5016 |   -62.6904
    45 |   0.000459 |  0.03235 |      0.5051 |   -59.7304
    46 |   0.000434 |  0.03562 |      0.5002 |   -48.8653
    47 |   0.000418 |  0.03479 |      0.5000 |   -58.1692
    48 |   0.000422 |  0.03536 |      0.4986 |   -56.8017
    49 |   0.000393 |  0.03365 |      0.4969 |   -56.9431
    50 |   0.000385 |  0.03726 |      0.5004 |   -51.9770
    51 |   0.000380 |  0.03580 |      0.5000 |   -57.8027
    52 |   0.000373 |  0.03775 |      0.5014 |   -53.3099
    53 |   0.000344 |  0.03706 |      0.5028 |   -55.0269
    54 |   0.000326 |  0.03875 |      0.5029 |   -50.8588
    55 |   0.000320 |  0.03778 |      0.5001 |   -54.2883
    56 |   0.000316 |  0.03964 |      0.4998 |   -49.5964
    57 |   0.000303 |  0.03703 |      0.4990 |   -62.9508
    58 |   0.000311 |  0.04152 |      0.5010 |   -47.5306
    59 |   0.000276 |  0.03837 |      0.5014 |   -54.2524
    60 |   0.000293 |  0.03956 |      0.4941 |   -61.2233
    61 |   0.000286 |  0.03875 |      0.4962 |   -56.7855
    62 |   0.000294 |  0.04031 |      0.4957 |   -54.0456
    63 |   0.000277 |  0.03904 |      0.4958 |   -56.8764
    64 |   0.000257 |  0.03975 |      0.4967 |   -56.2041
    65 |   0.000246 |  0.03943 |      0.4959 |   -57.4596
    66 |   0.000263 |  0.04163 |      0.5004 |   -50.4333
    67 |   0.000245 |  0.04023 |      0.4935 |   -60.4985
    68 |   0.000239 |  0.04171 |      0.5005 |   -51.7386
    69 |   0.000242 |  0.03920 |      0.4950 |   -61.0136
    70 |   0.000235 |  0.04075 |      0.4974 |   -53.7728
    71 |   0.000221 |  0.04083 |      0.4976 |   -57.4071
    72 |   0.000216 |  0.04124 |      0.4964 |   -53.3605
    73 |   0.000222 |  0.04100 |      0.4957 |   -57.5222
