Loading data from data/ts/raw ...
Tickers loaded: 63
Tickers after cross-split filter: 56
  [2015-01-01:2021-12-31] 56 tickers, 230 common dates
  [2022-01-01:2023-12-31] 56 tickers, 493 common dates
Train samples: 169, Val samples: 432
Parameters: 2,101,272
 epoch |  train_mse |  val_mae | val_dir_acc | val_sharpe
---------------------------------------------------------
     1 |   0.002237 |  0.02304 |      0.4912 |  -327.7636
     2 |   0.000599 |  0.02015 |      0.4940 |  -390.7873
     3 |   0.000496 |  0.01633 |      0.4980 |  -523.2674
     4 |   0.000406 |  0.01382 |      0.4989 |  -497.6793
     5 |   0.000394 |  0.01314 |      0.4960 |  -580.0594
     6 |   0.000384 |  0.01251 |      0.4979 |  -931.6295
     7 |   0.000362 |  0.01247 |      0.5018 |  -809.4914
     8 |   0.000358 |  0.01249 |      0.4980 |  -907.9662
     9 |   0.000352 |  0.01254 |      0.5005 |  -766.2006
    10 |   0.000344 |  0.01272 |      0.5064 |  -539.7128
    11 |   0.000339 |  0.01259 |      0.5018 |  -677.1843
    12 |   0.000329 |  0.01267 |      0.5004 |  -648.2967
    13 |   0.000323 |  0.01267 |      0.5007 |  -607.8435
    14 |   0.000321 |  0.01281 |      0.5037 |  -611.7412
    15 |   0.000310 |  0.01279 |      0.5017 |  -569.7593
    16 |   0.000307 |  0.01282 |      0.5047 |  -483.5098
    17 |   0.000293 |  0.01291 |      0.4993 |  -571.4662
    18 |   0.000291 |  0.01315 |      0.5069 |  -388.6276
    19 |   0.000276 |  0.01291 |      0.5029 |  -503.4463
    20 |   0.000271 |  0.01304 |      0.5040 |  -460.2186
    21 |   0.000941 |  0.01425 |      0.5091 |  -247.0326
    22 |   0.000916 |  0.01770 |      0.5098 |  -136.0069
    23 |   0.000902 |  0.01777 |      0.5101 |  -137.3979
    24 |   0.000879 |  0.01719 |      0.5053 |  -144.7835
    25 |   0.000847 |  0.02186 |      0.5116 |   -87.3670
    26 |   0.000825 |  0.02048 |      0.5060 |  -101.9709
    27 |   0.000797 |  0.02131 |      0.5027 |   -89.7625
    28 |   0.000763 |  0.02257 |      0.5010 |   -78.9658
    29 |   0.000728 |  0.02364 |      0.5033 |   -79.2767
    30 |   0.000722 |  0.02202 |      0.4921 |   -95.2922
    31 |   0.000702 |  0.02620 |      0.5038 |   -65.3817
    32 |   0.000684 |  0.02786 |      0.5075 |   -60.3707
    33 |   0.000654 |  0.02584 |      0.4975 |   -67.5890
    34 |   0.000645 |  0.02498 |      0.4942 |   -74.5694
    35 |   0.000615 |  0.02441 |      0.4963 |   -76.7584
    36 |   0.000607 |  0.02775 |      0.4973 |   -63.2924
    37 |   0.000592 |  0.03079 |      0.5007 |   -55.1080
    38 |   0.000584 |  0.02573 |      0.4935 |   -73.7074
    39 |   0.000575 |  0.02626 |      0.4931 |   -74.7067
    40 |   0.000560 |  0.02726 |      0.4948 |   -68.5330
    41 |   0.000550 |  0.02933 |      0.4998 |   -60.5123
    42 |   0.000544 |  0.02962 |      0.4959 |   -61.7128
    43 |   0.000527 |  0.02813 |      0.4947 |   -67.5601
    44 |   0.000500 |  0.03058 |      0.4994 |   -60.5570
    45 |   0.000507 |  0.03038 |      0.4993 |   -62.2613
    46 |   0.000487 |  0.03226 |      0.4993 |   -55.6312
    47 |   0.000471 |  0.03244 |      0.4951 |   -60.1793
    48 |   0.000479 |  0.03133 |      0.4921 |   -66.8191
    49 |   0.000452 |  0.03294 |      0.5005 |   -55.9621
    50 |   0.000446 |  0.03438 |      0.4983 |   -53.8481
    51 |   0.000445 |  0.03198 |      0.4961 |   -66.6556
    52 |   0.000440 |  0.03536 |      0.5010 |   -54.6253
    53 |   0.000414 |  0.03309 |      0.4996 |   -62.4986
    54 |   0.000396 |  0.03637 |      0.5035 |   -52.5255
    55 |   0.000391 |  0.03403 |      0.4995 |   -62.8316
    56 |   0.000389 |  0.03551 |      0.5011 |   -57.2009
    57 |   0.000378 |  0.03416 |      0.4948 |   -63.9731
    58 |   0.000387 |  0.03587 |      0.5012 |   -56.8115
    59 |   0.000357 |  0.03603 |      0.4981 |   -58.4470
    60 |   0.000368 |  0.03539 |      0.4990 |   -60.9188
    61 |   0.000366 |  0.03625 |      0.5006 |   -57.2510
    62 |   0.000382 |  0.03643 |      0.4983 |   -58.8510
    63 |   0.000365 |  0.03619 |      0.4972 |   -59.9594
    64 |   0.000345 |  0.03682 |      0.5007 |   -58.0467
    65 |   0.000338 |  0.03628 |      0.4948 |   -61.8200
    66 |   0.000361 |  0.03734 |      0.5000 |   -55.5201
    67 |   0.000346 |  0.03697 |      0.4986 |   -56.6727
    68 |   0.000338 |  0.03665 |      0.4954 |   -60.3267
    69 |   0.000343 |  0.03757 |      0.4990 |   -56.0023
    70 |   0.000339 |  0.03753 |      0.5000 |   -55.5791
    71 |   0.000328 |  0.03657 |      0.4977 |   -59.6371
    72 |   0.000326 |  0.03677 |      0.4975 |   -59.0994
    73 |   0.000327 |  0.03718 |      0.4990 |   -58.0043
