Loading data from data/ts/raw ...
Tickers loaded: 63
Tickers after cross-split filter: 56
  [2015-01-01:2021-12-31] 56 tickers, 230 common dates
  [2022-01-01:2023-12-31] 56 tickers, 493 common dates
Train samples: 169, Val samples: 432
Parameters: 791,448
 epoch |  train_mse |  val_mae | val_dir_acc | val_sharpe
---------------------------------------------------------
     1 |   0.222280 |  0.14449 |      0.4930 |   -41.7333
     2 |   0.036030 |  0.08190 |      0.5042 |   -69.2152
     3 |   0.020694 |  0.06886 |      0.5011 |   -74.4215
     4 |   0.018471 |  0.04500 |      0.4979 |  -152.3014
     5 |   0.014858 |  0.04243 |      0.4977 |  -137.7231
     6 |   0.013910 |  0.03193 |      0.4995 |  -243.4915
     7 |   0.011921 |  0.03115 |      0.4986 |  -220.3513
     8 |   0.011809 |  0.02798 |      0.5026 |  -224.2784
     9 |   0.011098 |  0.02596 |      0.4954 |  -219.6607
    10 |   0.010165 |  0.02297 |      0.4968 |  -269.2061
    11 |   0.009595 |  0.02359 |      0.4991 |  -279.9014
    12 |   0.008883 |  0.02226 |      0.4974 |  -375.3012
    13 |   0.008789 |  0.02413 |      0.4973 |  -245.2974
    14 |   0.008484 |  0.02026 |      0.5024 |  -212.1520
    15 |   0.007940 |  0.02111 |      0.5006 |  -213.4001
    16 |   0.007829 |  0.02088 |      0.4970 |  -244.1339
    17 |   0.007883 |  0.01849 |      0.4989 |  -412.6519
    18 |   0.007438 |  0.01977 |      0.4931 |  -376.6687
    19 |   0.007132 |  0.02194 |      0.5019 |  -258.7047
    20 |   0.006872 |  0.02212 |      0.4938 |  -351.0142
    21 |   0.001708 |  0.03463 |      0.5035 |  -103.3941
    22 |   0.001780 |  0.02893 |      0.5038 |   -91.0760
    23 |   0.001675 |  0.02249 |      0.5040 |  -141.2363
    24 |   0.001656 |  0.02503 |      0.5008 |  -164.1864
    25 |   0.001640 |  0.02170 |      0.5002 |  -170.4416
    26 |   0.001636 |  0.02017 |      0.5039 |  -148.9931
    27 |   0.001618 |  0.02028 |      0.5013 |  -125.6076
    28 |   0.001651 |  0.01981 |      0.5057 |  -122.3609
    29 |   0.001590 |  0.01887 |      0.5100 |  -135.3784
    30 |   0.001590 |  0.01909 |      0.5073 |  -132.0034
    31 |   0.001618 |  0.01860 |      0.5049 |  -148.1959
    32 |   0.001591 |  0.01821 |      0.5005 |  -172.8498
    33 |   0.001626 |  0.01793 |      0.5042 |  -176.9666
    34 |   0.001608 |  0.01758 |      0.5052 |  -176.2510
    35 |   0.001578 |  0.01724 |      0.5026 |  -183.1661
    36 |   0.001571 |  0.01781 |      0.5010 |  -190.8001
    37 |   0.001573 |  0.01807 |      0.5017 |  -185.2414
    38 |   0.001595 |  0.01768 |      0.5037 |  -161.6485
    39 |   0.001587 |  0.01745 |      0.5079 |  -147.9109
    40 |   0.001593 |  0.01755 |      0.5035 |  -171.5767
    41 |   0.001549 |  0.01811 |      0.5002 |  -169.6971
    42 |   0.001586 |  0.01872 |      0.5025 |  -153.4378
    43 |   0.001594 |  0.01859 |      0.5080 |  -141.4071
    44 |   0.001597 |  0.01830 |      0.5092 |  -147.9179
    45 |   0.001568 |  0.01902 |      0.5023 |  -165.8360
    46 |   0.001595 |  0.01922 |      0.5049 |  -154.8030
    47 |   0.001564 |  0.01812 |      0.5069 |  -149.6115
    48 |   0.001554 |  0.01830 |      0.5057 |  -137.3108
    49 |   0.001555 |  0.01805 |      0.4997 |  -153.4025
    50 |   0.001576 |  0.01819 |      0.5021 |  -183.8533
    51 |   0.001558 |  0.01826 |      0.5029 |  -170.3048
    52 |   0.001545 |  0.01825 |      0.5037 |  -165.5845
    53 |   0.001503 |  0.01907 |      0.4998 |  -153.1232
    54 |   0.001556 |  0.01866 |      0.5021 |  -151.6302
    55 |   0.001523 |  0.01901 |      0.5042 |  -130.6096
    56 |   0.001533 |  0.01924 |      0.5069 |  -124.3122
    57 |   0.001566 |  0.01832 |      0.5058 |  -131.1806
    58 |   0.001566 |  0.01723 |      0.5036 |  -171.4371
    59 |   0.001557 |  0.01732 |      0.5025 |  -195.0661
    60 |   0.001577 |  0.01739 |      0.5005 |  -182.0415
