Loading data from data/ts/raw ...
Tickers loaded: 63
Tickers after cross-split filter: 56
  [2015-01-01:2021-12-31] 56 tickers, 230 common dates
  [2022-01-01:2023-12-31] 56 tickers, 493 common dates
Train samples: 169, Val samples: 432
Parameters: 791,448
 epoch |  train_mse |  val_mae | val_dir_acc | val_sharpe
---------------------------------------------------------
     1 |   0.222280 |  0.14449 |      0.4930 |   -41.7331
     2 |   0.036030 |  0.08190 |      0.5042 |   -69.2152
     3 |   0.020693 |  0.06884 |      0.5011 |   -74.4433
     4 |   0.018469 |  0.04503 |      0.4978 |  -152.1650
     5 |   0.014857 |  0.04238 |      0.4975 |  -137.8513
     6 |   0.013908 |  0.03195 |      0.4992 |  -242.9439
     7 |   0.011919 |  0.03108 |      0.4990 |  -221.0735
     8 |   0.011811 |  0.02798 |      0.5042 |  -223.3280
     9 |   0.011097 |  0.02585 |      0.4955 |  -220.4978
    10 |   0.010187 |  0.02290 |      0.4964 |  -269.7870
    11 |   0.009608 |  0.02364 |      0.4995 |  -273.1915
    12 |   0.008906 |  0.02253 |      0.4996 |  -387.3436
    13 |   0.008786 |  0.02405 |      0.4988 |  -241.7856
    14 |   0.008595 |  0.02021 |      0.4991 |  -223.6856
    15 |   0.007972 |  0.02168 |      0.5020 |  -216.1575
    16 |   0.007951 |  0.02105 |      0.4977 |  -235.7019
    17 |   0.007912 |  0.01813 |      0.4967 |  -418.9404
    18 |   0.007407 |  0.02009 |      0.4945 |  -346.8979
    19 |   0.007115 |  0.02102 |      0.4955 |  -297.4793
    20 |   0.006868 |  0.02157 |      0.4920 |  -366.6461
    21 |   0.001697 |  0.03307 |      0.5043 |  -122.3274
    22 |   0.001770 |  0.02884 |      0.5080 |   -94.8460
    23 |   0.001695 |  0.02084 |      0.5054 |  -136.1305
    24 |   0.001651 |  0.02366 |      0.4982 |  -172.4855
    25 |   0.001635 |  0.02095 |      0.4996 |  -190.4408
    26 |   0.001644 |  0.01857 |      0.5019 |  -172.1914
    27 |   0.001600 |  0.01954 |      0.4993 |  -136.0595
    28 |   0.001647 |  0.01922 |      0.5001 |  -124.1688
    29 |   0.001598 |  0.01813 |      0.5056 |  -133.6859
    30 |   0.001594 |  0.01833 |      0.5080 |  -133.1502
    31 |   0.001607 |  0.01768 |      0.5033 |  -150.4738
    32 |   0.001605 |  0.01749 |      0.5023 |  -176.2572
    33 |   0.001636 |  0.01730 |      0.5005 |  -184.8424
    34 |   0.001606 |  0.01712 |      0.5021 |  -184.5220
    35 |   0.001588 |  0.01690 |      0.4985 |  -192.1104
    36 |   0.001587 |  0.01723 |      0.4947 |  -199.0766
    37 |   0.001583 |  0.01731 |      0.4975 |  -195.4771
    38 |   0.001614 |  0.01688 |      0.5031 |  -173.2602
    39 |   0.001596 |  0.01682 |      0.5079 |  -155.9322
    40 |   0.001606 |  0.01689 |      0.5032 |  -171.6526
    41 |   0.001562 |  0.01711 |      0.5018 |  -172.0987
    42 |   0.001599 |  0.01776 |      0.5029 |  -164.0848
    43 |   0.001617 |  0.01785 |      0.5030 |  -154.3316
    44 |   0.001603 |  0.01771 |      0.5029 |  -154.0732
    45 |   0.001579 |  0.01794 |      0.5019 |  -164.4033
    46 |   0.001600 |  0.01842 |      0.5032 |  -156.7823
    47 |   0.001582 |  0.01759 |      0.5019 |  -153.1385
    48 |   0.001567 |  0.01763 |      0.5057 |  -142.3391
    49 |   0.001556 |  0.01733 |      0.5040 |  -153.5365
    50 |   0.001580 |  0.01718 |      0.5016 |  -176.1424
    51 |   0.001566 |  0.01767 |      0.4990 |  -172.5401
    52 |   0.001560 |  0.01768 |      0.5005 |  -174.2836
    53 |   0.001525 |  0.01790 |      0.5014 |  -167.4110
    54 |   0.001565 |  0.01792 |      0.4992 |  -162.3158
    55 |   0.001541 |  0.01822 |      0.5012 |  -143.4948
    56 |   0.001556 |  0.01854 |      0.5033 |  -132.7417
    57 |   0.001583 |  0.01833 |      0.5033 |  -130.5969
    58 |   0.001581 |  0.01750 |      0.5039 |  -145.9315
    59 |   0.001567 |  0.01710 |      0.5035 |  -162.0040
    60 |   0.001605 |  0.01700 |      0.5013 |  -168.7778
    61 |   0.001553 |  0.01703 |      0.5022 |  -171.6315
    62 |   0.001589 |  0.01713 |      0.5025 |  -168.3837
    63 |   0.001536 |  0.01721 |      0.5018 |  -169.7739
    64 |   0.001554 |  0.01704 |      0.5028 |  -172.5628
    65 |   0.001587 |  0.01694 |      0.5039 |  -169.5629
    66 |   0.001532 |  0.01690 |      0.5042 |  -170.7360
    67 |   0.001574 |  0.01697 |      0.5036 |  -171.1861
    68 |   0.001515 |  0.01700 |      0.5017 |  -171.8018
    69 |   0.001574 |  0.01708 |      0.5012 |  -171.1893
    70 |   0.001572 |  0.01703 |      0.5015 |  -170.7525
    71 |   0.001553 |  0.01696 |      0.5035 |  -171.2439
    72 |   0.001507 |  0.01689 |      0.5026 |  -171.6202
    73 |   0.001571 |  0.01683 |      0.5027 |  -172.6585
    74 |   0.001542 |  0.01684 |      0.5024 |  -171.8826
    75 |   0.001559 |  0.01682 |      0.5022 |  -171.6633
    76 |   0.001570 |  0.01680 |      0.5022 |  -171.4272
    77 |   0.001577 |  0.01679 |      0.5021 |  -171.6614
    78 |   0.001588 |  0.01678 |      0.5024 |  -171.7018
    79 |   0.001540 |  0.01677 |      0.5025 |  -171.7609
    80 |   0.001616 |  0.01677 |      0.5024 |  -171.7421
Loaded best checkpoint from /Volumes/T9/IndraAstra/dhiraj/neuro_graph/data/ts/checkpoints/ts_step011_best.pt

Results saved to results/ts/ts_step011_cnn_transformer.json
Best val sharpe: -41.7331 | Final dir_acc: 0.4930 | MAE: 0.144491 | params: 791,448
