Loading data from /Volumes/T9/IndraAstra/dhiraj/neuro_graph/data/ts/raw ...
Tickers loaded: 63
Tickers after cross-split filter: 56
  [2015-01-01:2021-12-31] 56 tickers, 230 common dates
  [2022-01-01:2023-12-31] 56 tickers, 493 common dates
Train samples: 169, Val samples: 432
Parameters: 51,050
Model config: N=56, D=16, K_wiring=4, K_iter=3
  Edge count: 224 (56×4)
 epoch | train_loss |  val_mae | val_dir_acc | val_sharpe
---------------------------------------------------------
     1 |   0.153793 |  0.18283 |      0.4969 |   -36.9903
     2 |   0.038114 |  0.12158 |      0.4938 |   -56.4699
     3 |   0.019702 |  0.10050 |      0.4982 |   -65.3024
     4 |   0.013243 |  0.08330 |      0.4963 |   -66.5899
     5 |   0.010011 |  0.06209 |      0.4965 |  -100.8363
     6 |   0.008082 |  0.05736 |      0.5014 |  -103.7210
     7 |   0.006814 |  0.05373 |      0.4948 |   -97.5536
     8 |   0.006220 |  0.04937 |      0.4957 |  -116.4805
     9 |   0.005533 |  0.04192 |      0.4954 |  -128.6520
    10 |   0.005145 |  0.04496 |      0.4979 |  -146.9631
    11 |   0.004876 |  0.04083 |      0.4943 |  -120.8802
    12 |   0.004621 |  0.03821 |      0.4972 |  -156.3284
    13 |   0.004314 |  0.03843 |      0.4936 |  -145.1189
    14 |   0.004113 |  0.03587 |      0.4951 |  -170.1924
    15 |   0.004001 |  0.03491 |      0.4955 |  -136.0969
    16 |   0.003910 |  0.03294 |      0.4998 |  -177.6862
    17 |   0.003676 |  0.03431 |      0.4984 |  -176.0801
    18 |   0.003552 |  0.03431 |      0.4935 |  -154.9809
    19 |   0.003555 |  0.03619 |      0.4961 |  -140.7876
    20 |   0.003557 |  0.03534 |      0.4924 |  -134.3866
    21 |   0.001566 |  0.06049 |      0.4957 |   -92.8110
    22 |   0.001455 |  0.03876 |      0.5039 |   -83.6384
    23 |   0.001379 |  0.03802 |      0.4988 |  -140.2603
    24 |   0.001326 |  0.03458 |      0.4963 |  -175.2138
    25 |   0.001298 |  0.03291 |      0.4965 |  -133.0775
    26 |   0.001284 |  0.03220 |      0.5033 |  -116.7853
    27 |   0.001271 |  0.02934 |      0.5029 |  -149.6465
    28 |   0.001251 |  0.02961 |      0.4975 |  -174.5405
    29 |   0.001252 |  0.03046 |      0.4986 |  -162.8300
    30 |   0.001239 |  0.02998 |      0.5031 |  -126.2274
    31 |   0.001241 |  0.02968 |      0.5012 |  -131.2300
    32 |   0.001257 |  0.02939 |      0.4978 |  -162.6513
    33 |   0.001245 |  0.02937 |      0.5040 |  -158.3055
    34 |   0.001241 |  0.02905 |      0.5007 |  -171.8920
    35 |   0.001237 |  0.02947 |      0.4996 |  -147.1070
    36 |   0.001238 |  0.02966 |      0.4985 |  -144.1463
    37 |   0.001230 |  0.02905 |      0.4986 |  -146.9282
    38 |   0.001227 |  0.02869 |      0.4985 |  -171.2491
