Loading data from /Volumes/T9/IndraAstra/dhiraj/neuro_graph/data/ts/raw ...
Tickers loaded: 63
Tickers after cross-split filter: 56
  [2015-01-01:2021-12-31] 56 tickers, 230 common dates
  [2022-01-01:2023-12-31] 56 tickers, 493 common dates
Train samples: 169, Val samples: 432
Parameters: 51,050
Model config: N=56, D=16, K_wiring=4, K_iter=3
  Edge count: 224 (56×4)
 epoch | train_loss |  val_mae | val_dir_acc | val_sharpe
---------------------------------------------------------
     1 |   0.000674 |  0.01635 |      0.4944 |  -577.5272
     2 |   0.000482 |  0.01455 |      0.5015 |  -400.6968
     3 |   0.000433 |  0.01371 |      0.4944 |  -855.4064
     4 |   0.000408 |  0.01322 |      0.4991 |  -846.9447
     5 |   0.000390 |  0.01290 |      0.4975 |  -753.7607
     6 |   0.000385 |  0.01271 |      0.4957 |  -760.1531
     7 |   0.000381 |  0.01248 |      0.4974 |  -999.5348
     8 |   0.000373 |  0.01251 |      0.4959 |  -997.1285
     9 |   0.000371 |  0.01243 |      0.5009 |  -952.2898
    10 |   0.000369 |  0.01246 |      0.5005 | -1009.9999
    11 |   0.000371 |  0.01243 |      0.5009 |  -973.6522
    12 |   0.000364 |  0.01241 |      0.4983 | -1015.7065
    13 |   0.000359 |  0.01282 |      0.5065 |  -424.9581
    14 |   0.000370 |  0.01258 |      0.4969 | -1074.9993
    15 |   0.000372 |  0.01267 |      0.5045 |  -572.6175
    16 |   0.000360 |  0.01261 |      0.4975 |  -768.7813
    17 |   0.000359 |  0.01253 |      0.4934 |  -891.0944
    18 |   0.000354 |  0.01275 |      0.4966 |  -651.0903
    19 |   0.000355 |  0.01273 |      0.4964 |  -778.4451
    20 |   0.000355 |  0.01272 |      0.4938 |  -660.8786
    21 |   0.001015 |  0.01467 |      0.4912 |  -436.8600
    22 |   0.001008 |  0.01630 |      0.4998 |  -185.3312
    23 |   0.000994 |  0.01746 |      0.5072 |  -140.7876
    24 |   0.000990 |  0.01769 |      0.5063 |  -150.5826
    25 |   0.000979 |  0.01709 |      0.5020 |  -194.3440
    26 |   0.000971 |  0.01738 |      0.5004 |  -216.8884
    27 |   0.000963 |  0.01829 |      0.4999 |  -207.3992
    28 |   0.000957 |  0.01892 |      0.4991 |  -205.9544
    29 |   0.000949 |  0.01927 |      0.4996 |  -202.1540
    30 |   0.000941 |  0.01945 |      0.4990 |  -194.7880
    31 |   0.000930 |  0.02009 |      0.5007 |  -183.0785
    32 |   0.000927 |  0.02072 |      0.4999 |  -182.0524
    33 |   0.000921 |  0.02108 |      0.5004 |  -176.3267
    34 |   0.000914 |  0.02178 |      0.4978 |  -175.4007
    35 |   0.000903 |  0.02218 |      0.5007 |  -168.5358
    36 |   0.000897 |  0.02244 |      0.4992 |  -160.7696
    37 |   0.000889 |  0.02279 |      0.5000 |  -156.3812
    38 |   0.000880 |  0.02321 |      0.4988 |  -152.7753
    39 |   0.000882 |  0.02349 |      0.4988 |  -149.1717
    40 |   0.000870 |  0.02372 |      0.4996 |  -145.1872
    41 |   0.000869 |  0.02410 |      0.4984 |  -141.8240
    42 |   0.000859 |  0.02446 |      0.4971 |  -138.0131
    43 |   0.000858 |  0.02470 |      0.4964 |  -135.0361
    44 |   0.000854 |  0.02475 |      0.4984 |  -133.8628
    45 |   0.000847 |  0.02494 |      0.4979 |  -132.8353
    46 |   0.000841 |  0.02512 |      0.4981 |  -131.1556
    47 |   0.000836 |  0.02534 |      0.4976 |  -129.3874
    48 |   0.000833 |  0.02550 |      0.4974 |  -126.2149
    49 |   0.000827 |  0.02565 |      0.4984 |  -124.9285
    50 |   0.000823 |  0.02577 |      0.4979 |  -122.9940
    51 |   0.000816 |  0.02597 |      0.4966 |  -122.0644
    52 |   0.000825 |  0.02610 |      0.4961 |  -122.0580
    53 |   0.000821 |  0.02615 |      0.4957 |  -122.5821
    54 |   0.000816 |  0.02621 |      0.4957 |  -122.6490
    55 |   0.000810 |  0.02627 |      0.4969 |  -122.3290
    56 |   0.000807 |  0.02635 |      0.4975 |  -121.8390
    57 |   0.000808 |  0.02644 |      0.4971 |  -121.0979
    58 |   0.000800 |  0.02653 |      0.4980 |  -120.4898
    59 |   0.000810 |  0.02660 |      0.4971 |  -120.3724
    60 |   0.000806 |  0.02664 |      0.4978 |  -120.2109
    61 |   0.000803 |  0.02669 |      0.4972 |  -120.4241
    62 |   0.000805 |  0.02673 |      0.4969 |  -120.3100
    63 |   0.000800 |  0.02677 |      0.4968 |  -120.0201
    64 |   0.000799 |  0.02681 |      0.4966 |  -119.7040
    65 |   0.000798 |  0.02685 |      0.4958 |  -119.4629
    66 |   0.000797 |  0.02689 |      0.4956 |  -119.3002
    67 |   0.000800 |  0.02690 |      0.4956 |  -119.4174
    68 |   0.000794 |  0.02691 |      0.4961 |  -119.3851
    69 |   0.000798 |  0.02693 |      0.4962 |  -119.2688
    70 |   0.000793 |  0.02694 |      0.4964 |  -119.1953
    71 |   0.000795 |  0.02696 |      0.4963 |  -119.0928
    72 |   0.000792 |  0.02697 |      0.4962 |  -119.0275
    73 |   0.000793 |  0.02698 |      0.4962 |  -118.9213
    74 |   0.000794 |  0.02698 |      0.4959 |  -118.9090
    75 |   0.000794 |  0.02699 |      0.4959 |  -118.8954
    76 |   0.000787 |  0.02699 |      0.4960 |  -118.8644
    77 |   0.000801 |  0.02699 |      0.4961 |  -118.8316
    78 |   0.000793 |  0.02699 |      0.4962 |  -118.8338
    79 |   0.000793 |  0.02699 |      0.4962 |  -118.8316
    80 |   0.000792 |  0.02699 |      0.4962 |  -118.8308
Loaded best checkpoint from /Volumes/T9/IndraAstra/dhiraj/neuro_graph/data/ts/checkpoints/ts_step030_best.pt

Learned alpha=0.4277, beta=0.1646
Results saved to /Volumes/T9/IndraAstra/dhiraj/neuro_graph/results/ts/ts_step030_sgnnet_ts.json
Best val sharpe: -118.8308 | Final dir_acc: 0.4962 | MAE: 0.026990 | params: 51,050
