gen	idx	N	D	K_hh	K_iter	alpha_ahebb	alpha_reflect	routing_mode	polarizer_alpha	accuracy	fitness	flops_M	params	best_epoch	elapsed_s	error
0	0	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.954395	1.049834	0.983	67744	16	46.9	
0	1	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.937325	1.031057	0.983	67744	20	54.0	
0	2	2048	16	2	5	1.0	0.5	standard	0.0	0.927898	1.020688	0.983	67744	18	37.8	
0	3	2048	16	2	6	1.0	0.5	standard	0.0	0.917452	0.963325	1.180	67744	19	42.1	
0	4	4096	16	2	5	1.0	0.5	standard	0.0	0.949809	0.997299	1.966	135328	20	66.1	
0	5	2048	16	3	5	1.0	0.5	standard	0.0	0.911338	0.956904	1.475	67744	18	42.7	
0	6	2048	16	4	5	1.0	0.5	standard	0.0	0.882293	0.926408	1.966	67744	20	47.4	
0	7	2048	32	4	5	1.0	0.5	standard	0.0	0.862930	0.862930	3.932	133440	17	86.2	
0	8	2048	20	4	5	1.0	0.5	standard	0.0	0.865478	0.865478	2.458	84168	16	60.9	
0	9	4096	16	2	6	1.0	0.5	standard	0.0	0.937325	0.937325	2.359	135328	20	74.4	
0	10	2048	24	2	5	1.0	0.5	standard	0.0	0.901401	0.946471	1.475	100592	20	54.1	
0	11	2048	16	2	8	1.0	0.5	standard	0.0	0.918471	0.964395	1.573	67744	19	50.8	
0	12	4096	16	3	5	1.0	0.5	standard	0.0	0.937070	0.937070	2.949	135328	19	76.1	
0	13	2048	16	2	5	1.0	0.3	standard	0.0	0.909045	0.999949	0.983	67744	20	38.2	
0	14	2048	16	2	4	1.0	0.5	standard	0.0	0.895287	0.984815	0.786	67744	19	34.2	
0	15	2048	12	2	5	1.0	0.5	standard	0.0	0.913631	1.004994	0.737	51320	19	31.3	
0	16	4096	16	2	8	1.0	0.5	standard	0.0	0.930191	0.930191	3.146	135328	20	90.7	
0	17	2048	16	2	5	1.0	0.5	delta_proj	1.0	0.950573	1.045631	0.983	67744	19	51.5	
0	18	2048	16	2	6	1.0	0.5	wpos_proj	1.5	0.940382	0.987401	1.180	67744	20	61.9	
0	19	1024	16	2	5	1.0	0.5	standard	0.0	0.851465	0.936611	0.492	33952	19	24.4	
0	20	2048	16	2	6	1.0	0.5	delta_proj	0.0	0.923822	0.970013	1.180	67744	20	58.2	
0	21	2048	16	2	5	1.0	0.5	standard	0.0	0.910318	1.001350	0.983	67744	18	38.0	
0	22	2048	16	3	5	0.0	0.5	delta_proj	1.5	0.955924	1.003720	1.475	67744	20	56.8	
0	23	2048	16	2	5	1.0	0.5	standard	0.0	0.911847	1.003032	0.983	67744	19	38.0	
0	24	4096	16	2	5	1.0	0.5	delta_proj	1.0	0.951338	0.998904	1.966	135328	18	92.6	
0	25	4096	16	3	6	1.0	0.5	standard	0.0	0.943185	0.943185	3.539	135328	20	86.0	
0	26	2048	16	3	5	1.0	0.5	standard	0.0	0.909554	0.955032	1.475	67744	19	43.2	
0	27	2048	16	2	5	1.0	0.5	standard	1.5	0.909299	1.000229	0.983	67744	18	38.0	
0	28	4096	16	3	5	1.0	0.5	standard	0.0	0.930955	0.930955	2.949	135328	17	76.0	
0	29	4096	32	4	5	1.0	0.5	standard	0.0	0.922038	0.869218	7.864	266560	18	163.1	
0	30	1024	16	3	5	1.0	0.5	standard	0.0	0.836433	0.920076	0.737	33952	18	26.8	
0	31	2048	16	3	5	1.0	0.5	standard	0.0	0.903694	0.948879	1.475	67744	17	43.2	
0	32	2048	16	3	8	1.0	0.5	standard	0.0	0.917707	0.917707	2.359	67744	18	58.4	
0	33	2048	16	4	5	1.0	0.5	standard	1.5	0.878726	0.922662	1.966	67744	18	48.1	
0	34	4096	20	4	8	1.0	0.5	standard	0.0	0.945478	0.891315	7.864	168136	18	160.8	
0	35	2048	16	4	6	1.0	0.5	standard	0.0	0.894522	0.894522	2.359	67744	20	54.2	
0	36	2048	16	4	5	1.0	0.5	standard	1.5	0.890955	0.935503	1.966	67744	20	48.1	
0	37	4096	16	2	5	1.0	0.5	delta_proj	0.0	0.943949	0.991146	1.966	135328	20	92.9	
0	38	2048	16	2	8	1.0	0.3	standard	0.0	0.923822	0.970013	1.573	67744	20	50.7	
0	39	2048	16	4	5	1.0	0.5	standard	0.0	0.890701	0.935236	1.966	67744	20	48.1	
0	40	1024	32	2	5	1.0	0.5	standard	0.0	0.763822	0.840204	0.983	66880	20	39.4	
0	41	2048	16	4	5	1.0	0.5	standard	0.0	0.894013	0.938713	1.966	67744	18	48.4	
